Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,status,sumber,Keywords_kategori,Text_clean
21,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sukatani bekas sicepat admin,netral,twitter,Update layanan pelacakan resi,sukatani bekas admin
22,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",coba kantor counte tutup sicepat sicepat halu kurir sicepat,netral,twitter,Update layanan pelacakan resi,coba kantor counte tutup halu kurir
23,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",bernaaip kunjung lapor palsu coda nomor resi sicepat kurir malas,netral,twitter,Update layanan pelacakan resi,bernaaip kunjung lapor palsu coda nomor resi kurir malas
24,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat kota pulau sicepat,netral,twitter,Update layanan pelacakan resi,kota pulau
25,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",status sistem bayar gilir dicancel refund proses sicepat,netral,twitter,Update layanan pelacakan resi,status sistem bayar gilir dicancel refund proses
26,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",complain share experience sicepat,netral,twitter,Update layanan pelacakan resi,complain share erience
27,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",bingung tanggal update kece resi update beda tenggat sinkron sicepat,netral,twitter,Update layanan pelacakan resi,bingung tanggal update kece resi update beda tenggat sinkron
33,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",alkisah jasa sigesit sicepat kerja bolak bawa,netral,twitter,Update layanan pelacakan resi,alkisah jasa sigesit kerja bolak bawa
34,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat anteraja kali update status valid bilang gagal foto produk toko,netral,twitter,Update layanan pelacakan resi,update status valid bilang gagal foto produk toko
35,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",page bikin lapor telfon sicepat suruh nunggu bilang usaha cepat kemarin alhasil gerak kemarin sicepat lemot,netral,twitter,Update layanan pelacakan resi,page bikin lapor telfon suruh nunggu bilang usaha cepat kemarin alhasil gerak kemarin lambat
36,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",nama sicepat bayar cash estimasi reguler malahan sicepat,netral,twitter,Update layanan pelacakan resi,nama bayar cash estimasi reguler
37,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",rumah bogor mesti keliling bekasi jaktim tanah real rumah menit sicepat,netral,twitter,Update layanan pelacakan resi,rumah bogor mesti keliling bekasi jaktim tanah real rumah menit
38,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",daerah cikarang bekas sukatani kirim layan transfer bank cetak sicepat shopee,netral,twitter,Update layanan pelacakan resi,daerah cikarang bekas sukatani kirim layan transfer bank cetak
39,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",cepat daerah kalimantan sparepart beli kopi sicepat ekspres,netral,twitter,Update layanan pelacakan resi,cepat daerah kalimantan sparepart beli kopi ekspres
46,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat sesuai estimasi order minggu kamis sicepat mohon bantu sicepat halu kok gini,netral,twitter,Update layanan pelacakan resi,sesuai estimasi order minggu kamis mohon bantu halu
47,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",kelana bareng sicepat astaga makan bulu,netral,twitter,Update layanan pelacakan resi,kelana bareng astaga makan bulu
48,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",hati teman bisnis online shop coba tipu mengatasnamakan modus kendala bijak sosial media sicepat antaraja ninjaxpres lionparcel,netral,twitter,Update layanan pelacakan resi,hati teman bisnis online shop coba tipu mengatasnamakan modus kendala bijak sosial media antaraja res
49,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat lambat kali,netral,twitter,Update layanan pelacakan resi,lambat
51,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",tanggal telfon kali lapor terus hubung kerja samsek sicepat,netral,twitter,Update layanan pelacakan resi,tanggal telfon lapor hubung kerja samsek
53,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",tolong order resi gadung jakarta barat februari estimasi sicepat,netral,twitter,Update layanan pelacakan resi,tolong order resi gadung jakarta barat februari estimasi
54,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",hilang solusi tanggung sicepat,netral,twitter,Update layanan pelacakan resi,hilang solusi tanggung
55,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",admin sicepat tolong tunggu minggu hilang sicepat,netral,twitter,Update layanan pelacakan resi,admin tolong tunggu minggu hilang
56,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",jasa sicepat makan estimasi cepat lambat kayak,netral,twitter,Update layanan pelacakan resi,jasa makan estimasi cepat lambat kayak
57,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",jakarta pusat jakarta barat kapok nyuruh nomor resi mending sicepat lelet,netral,twitter,Update layanan pelacakan resi,jakarta pusat jakarta barat kapok nyuruh nomor resi mending lelet
58,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",penasaran sicepat muter toko jaksel jaktim jaksel bantu jelasin,netral,twitter,Update layanan pelacakan resi,penasaran muter toko jaksel jaktim jaksel bantu jelasin
61,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",serius layan best mending esok kapok sicepat viral,netral,twitter,Update layanan pelacakan resi,serius layan best mending esok kapok viral
62,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",selamat ulang usaha teknologi nomor asia tenggara sicepat pesan protokol enkripsi perangkat jarak sicepat tahun bersama sicepat,netral,twitter,Update layanan pelacakan resi,selamat ulang usaha teknologi nomor asia tenggara pesan protokol enkripsi perangkat jarak
63,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",ngapa kaya kontol same aje ngenthod sicepat shopeeexpress,netral,twitter,Update layanan pelacakan resi,ngapa same shope resi
64,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",keliling jakarta greenlake city kilo ketapang cipondoh best sicepat,netral,twitter,Update layanan pelacakan resi,keliling jakarta greenlake city kilo ketapang cipondoh best
65,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",halo admin selamat sore komplen pesan status shipping selasa ikan sicepat lelet,netral,twitter,Update layanan pelacakan resi,halo admin selamat sore komplen pesan status shipping selasa ikan lelet
66,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",resi cape sicepat direspon,netral,twitter,Update layanan pelacakan resi,resi cape direspon
67,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",resi chat resi temu niat bantu customer sicepat,netral,twitter,Update layanan pelacakan resi,resi chat resi temu niat bantu customer
68,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",jamin sicepat best tokopedia lambat ongkir ganti tokopedia sicepat,netral,twitter,Update layanan pelacakan resi,jamin best lambat ongkir ganti
69,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",aman ready stock sicepat anteraja jakarta,netral,twitter,Update layanan pelacakan resi,aman ready stock jakarta
70,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",ubah si paling cepat sicepat,netral,twitter,Update layanan pelacakan resi,ubah cepat
71,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",twitter your thing lesgo ambil driver pesan terima nyata selesai bandung sicepat gojek,netral,twitter,Update layanan pelacakan resi,your thing lesgo ambil driver pesan terima nyata selesai bandung gojek
72,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat lambat tuju online shop sicepat ninja anteraja shopee tokopedia,netral,twitter,Update layanan pelacakan resi,lambat tuju online shop
73,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sesuai nama halu kayak cepat halu lambat micro tuju bogor transit tangerang jakarta lupa bawa sicepat halu sicepat mohon,netral,twitter,Update layanan pelacakan resi,sesuai nama halu kayak cepat halu lambat micro tuju bogor transit tangerang jakarta lupa bawa halu mohon
74,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",hilang ganti rugi sicepat sicepat,netral,twitter,Update layanan pelacakan resi,hilang ganti rugi
75,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat karanganyar follow colomadu karanganyar retweet,netral,twitter,Update layanan pelacakan resi,karanganyar follow colomadu karanganyar retweet
76,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",kota sicepat,netral,twitter,Update layanan pelacakan resi,kota
77,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat butuh jakarta,netral,twitter,Update layanan pelacakan resi,butuh jakarta
78,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",nelpon nomor sibuk twitter dibales chat baca komplikasi mantan tolong resppoon sicepat,netral,twitter,Update layanan pelacakan resi,nelpon nomor sibuk dibales chat baca komplikasi mantan tolong resppoon
79,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",semangat nasib tokopedia tuju customer alih jasa sicepat silelet silambat,netral,twitter,Update layanan pelacakan resi,semangat nasib tuju customer alih jasa lambat lambat
80,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",bts army sicepat paket hilang,netral,twitter,Update layanan pelacakan resi,bts army paket hilang
81,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",ganti nama nganter sicepat,netral,twitter,Update layanan pelacakan resi,ganti nama nganter
82,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sesuai branding jakarta barat jakarta selatan info ambil lokasi resi sicepat lambat,netral,twitter,Update layanan pelacakan resi,sesuai branding jakarta barat jakarta selatan info ambil lokasi resi lambat
83,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",lupa nama wajib konsumen telantar jangan pakai pengiriman sicepat bangkrut,netral,twitter,Update layanan pelacakan resi,lupa nama wajib konsumen telantar pengiriman bangkrut
84,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",estimasi sicepat tokopedia,netral,twitter,Update layanan pelacakan resi,estimasi
86,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",proses selesai skema uuck pasal sicepat pantau jalan dokumenya kayak team dokumen,netral,twitter,Update layanan pelacakan resi,proses selesai skema uuck pasal pantau jalan dokumenya kayak team dokumen
87,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",gandeng bank sicepat tanam pohon mangrove sungai cisadane sicepat,netral,twitter,Update layanan pelacakan resi,gandeng bank tanam pohon mangrove sungai cisadane
88,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",kayak ekpedisi jaman gajah surabaya madura nyampek kantor cabang bilang lempar express sicepat,netral,twitter,Update layanan pelacakan resi,kayak ekpedisi jaman gajah surabaya madura nyampek kantor cabang bilang lempar resi
89,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat ekspres indonesia komitmen green corporate sicepat,netral,twitter,Update layanan pelacakan resi,ekspres komitmen green corporate
90,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",mager jemput request backup drama kurir sicepat,netral,twitter,Update layanan pelacakan resi,mager jemput request backup drama kurir
92,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",layan sicepat,netral,twitter,Update layanan pelacakan resi,layan
93,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",request pagi coba baca respon sesuai nama sicepat entaraja selesai direspon,netral,twitter,Update layanan pelacakan resi,request pagi coba baca respon sesuai nama entaraja selesai direspon
95,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",harap barang nominal sicepat,netral,twitter,Update layanan pelacakan resi,harap barang nominal
96,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",ancam sigesit cash delivery tangerang sicepat,netral,twitter,Update layanan pelacakan resi,ancam sigesit cash delivery tangerang
97,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",telepon saya jemput malam kasih update info solutif sicepat,netral,twitter,Update layanan pelacakan resi,telepon jemput malam kasih update info solutif
98,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",gilir tweet balesnya update info capture sicepat,netral,twitter,Update layanan pelacakan resi,gilir balesnya update info capture
99,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat drop jakarta barat timur utara sicepat,netral,twitter,Update layanan pelacakan resi,drop jakarta barat timur utara
101,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",colomadu sicepat jaten karanganyar rantau badauh karanganyar,netral,twitter,Update layanan pelacakan resi,colomadu jaten karanganyar rantau badauh karanganyar
103,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat jaten karanganyar rantau badauh karanganyar,netral,twitter,Update layanan pelacakan resi,jaten karanganyar rantau badauh karanganyar
104,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",nganter anjing jalan kaki sicepat tokopedia,netral,twitter,Update layanan pelacakan resi,nganter jalan kaki
105,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",nyasar kali sicepat,netral,twitter,Update layanan pelacakan resi,nyasar
106,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat ubah nama silambat,netral,twitter,Update layanan pelacakan resi,ubah nama lambat
107,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",nunggu murah tanggal gera nyata hilang gimana pertanggungjawaban sicepat jakarta,netral,twitter,Update layanan pelacakan resi,nunggu murah tanggal gera nyata hilang pertanggungjawaban jakarta
108,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",weekend libur jumat sorting center area rumah senin tugas rumah adil klik tombol selesai batas otomatis tokped sicepat asli lambat,netral,twitter,Update layanan pelacakan resi,weekend libur jumat sorting center area rumah senin tugas rumah adil klik tombol selesai batas otomatis asli lambat
109,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",nunggu staff cepat hubung ubah status tega jaksel cargo rumah sicepat cepat,netral,twitter,Update layanan pelacakan resi,nunggu staff cepat hubung ubah status tega jaksel cargo rumah cepat
110,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat harap mudah kelompok wanita pecah batu ternate jalan kerja bantu ekonomi desa togafu sicepat,netral,twitter,Update layanan pelacakan resi,harap mudah kelompok wanita pecah batu ternate jalan kerja bantu ekonomi desa togafu
111,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",tolong tanggal gerak sicepat,netral,twitter,Update layanan pelacakan resi,tolong tanggal gerak
112,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",tangerang jumat malem sicepat lama sicepat ekspress,netral,twitter,Update layanan pelacakan resi,tangerang jumat malem ekspress
113,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat mohon maaf request return kena ongkos estimasi perihal kakak konfirmasi terima kasih bayar return,netral,twitter,Update layanan pelacakan resi,mohon maaf request return kena ongkos estimasi perihal kakak konfirmasi terima kasih bayar return
114,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",lambat sicepat tuntut juta konsumen parboaboa sicepat hukum berita beritaterbaru,netral,twitter,Update layanan pelacakan resi,lambat tuntut juta konsumen parboaboa hukum berita beritaterbaru
115,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",resi sicepat lambat,netral,twitter,Update layanan pelacakan resi,resi lambat
116,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",surat buka kamis sept jogja pasming jaksel henti cargo jaksel sabtu sept tolong basi expired makan sicepat cargo jakarta selatan,netral,twitter,Update layanan pelacakan resi,surat buka kamis sept jogja pasming jaksel henti cargo jaksel sabtu sept tolong basi ired makan cargo jakarta selatan
117,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat cocok ubah nama silambat,netral,twitter,Update layanan pelacakan resi,cocok ubah nama lambat
118,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat fokus bantu umkm tajam skill bisnis materi digital marketing sicepat,netral,twitter,Update layanan pelacakan resi,fokus bantu umkm tajam skill bisnis materi digital marketing
119,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",thanks order rekening soma awas tipu testimoni sicepat singapore sibuk bandung barat indonesia,netral,twitter,Update layanan pelacakan resi,terimakasih order rekening soma awas tipu testimoni singapore sibuk bandung barat
120,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",update sicepat,netral,twitter,Update layanan pelacakan resi,update
121,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",kunjung toko tokopedia link percaya jasa layan sicepat tokopedia shipping jne indonesia jne yes jne reg jne oke sicepat sicepat halu sicepat ekspres official,netral,twitter,Update layanan pelacakan resi,kunjung toko link percaya jasa layan shipping yes reg oke halu ekspres official
122,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",mohon servis langgan pilih free ongkir anteraja sicepat ekpedisi salah kirim,netral,twitter,Update layanan pelacakan resi,mohon servis langgan pilih free ongkir ekpedisi salah kirim
123,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",resi salah alamat tetangga siang konfirmasi sicepat nomor terima sicepat salah kirim layan,netral,twitter,Update layanan pelacakan resi,resi salah alamat tetangga siang konfirmasi nomor terima salah kirim layan
124,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",performa sicepat lelet,netral,twitter,Update layanan pelacakan resi,performa lelet
125,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",silemot boikotsicepat sicepat antarbarangsaya,netral,twitter,Update layanan pelacakan resi,lambat boikotsicepat antarbarangsaya
126,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",profesional teliti pilih marketplace tokopedia sicepat,netral,twitter,Update layanan pelacakan resi,profesional teliti pilih
128,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat lambat minggu nyangkut gilir anter sicepat lambat,netral,twitter,Update layanan pelacakan resi,lambat minggu nyangkut gilir anter lambat
129,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat profesional kurir sicepat parah barang saya mana sicepat noway sicepat gaklah,netral,twitter,Update layanan pelacakan resi,profesional kurir parah barang noway gaklah
130,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",woy sicepat status kurir sicepat sicepat sicepat parah barang saya mana,netral,twitter,Update layanan pelacakan resi,woy status kurir parah barang
131,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",contact sicepat maksimal investigasi maksimal orang status investigasi ketemu kurir sicepat sicepat sicepat parah barang saya mana,netral,twitter,Update layanan pelacakan resi,contact maksimal investigasi maksimal orang status investigasi ketemu kurir parah barang
132,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat lepas tangan alas rusak gudang sicepat tikus uang shopee lepas buyer just professional jasa integritas september shopee sicepat,netral,twitter,Update layanan pelacakan resi,lepas tangan alas rusak gudang tikus uang lepas buyer just professional jasa integritas september
133,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",seller fast respon packing rapi aman sept sicepat tanggal sept pesan stag komplain buyer shopee follow kantor sicepat ulang kali lepas tangan shopee sicepat,netral,twitter,Update layanan pelacakan resi,seller fast respon packing rapi aman sept tanggal sept pesan stag komplain buyer follow kantor ulang lepas tangan
134,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",tolong minggu sicepat lambat,netral,twitter,Update layanan pelacakan resi,tolong minggu lambat
135,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",kemarin sicepat,netral,twitter,Update layanan pelacakan resi,kemarin
136,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat pesan agustus september estimasi terima september sicepat,netral,twitter,Update layanan pelacakan resi,pesan agustus september estimasi terima september
137,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",andal shopee tokopedia nonaktif layan sicepat minggu hilang terima,netral,twitter,Update layanan pelacakan resi,andal nonaktif layan minggu hilang terima
138,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",minggu hilang setelah komplain respon line email direspon sicepat parah contoh,netral,twitter,Update layanan pelacakan resi,minggu hilang komplain respon line email direspon parah contoh
139,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",tolong hormat sicepat layan best minggu heran sicepat,netral,twitter,Update layanan pelacakan resi,tolong hormat layan best minggu heran
140,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",estimasi minggu stuck kota tangerang tangsel ambil langsung butuh banget sicepat,netral,twitter,Update layanan pelacakan resi,estimasi minggu stuck kota tangerang tangsel ambil langsung butuh
141,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat nama bagus sicepat tanggal konfirmasi sicepat why sicepat,netral,twitter,Update layanan pelacakan resi,nama bagus tanggal konfirmasi why
142,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",ganti nama sicepat silambat,netral,twitter,Update layanan pelacakan resi,ganti nama lambat
144,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",kali banget maks jaksel jakut doang update ulang besok sicepat,netral,twitter,Update layanan pelacakan resi,maks jaksel jakut doang update ulang besok
146,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",canda tanggal agustus elom touring sicepat,netral,twitter,Update layanan pelacakan resi,canda tanggal agustus elom touring
147,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",balada solusi sicepat tokopedia tokopedia seller,netral,twitter,Update layanan pelacakan resi,balada solusi seller
